algo,run_no,itération,coût
ghc,3,38,157.50468057438877
ghc,3,39,157.5046180743888
ghc,3,40,157.50458682438878
ghc,3,41,157.50458682438878
ghc,3,42,157.50455557438877
ghc,3,43,157.5044930743888
ghc,3,44,157.50443057438878
ghc,3,45,157.50436807438876
ghc,3,46,157.50430557438878
ghc,3,47,157.50430557438878
ghc,3,48,157.5042118243888
ghc,3,49,157.50414932438878
rand,4,0,159.5760696584601
rand,4,1,159.5760696584601
rand,4,2,159.02421719493682
rand,4,3,158.17475656205622
rand,4,4,158.17475656205622
rand,4,5,157.54263389558574
rand,4,6,157.54263389558574
rand,4,7,157.54263389558574
rand,4,8,157.54263389558574
rand,4,9,157.54263389558574
rand,4,10,157.54263389558574
rand,4,11,157.54263389558574
rand,4,12,157.54263389558574
rand,4,13,157.54263389558574
rand,4,14,157.54263389558574
rand,4,15,157.54263389558574
rand,4,16,157.54263389558574
rand,4,17,157.54263389558574
rand,4,18,157.54263389558574
rand,4,19,157.54263389558574
rand,4,20,157.54263389558574
rand,4,21,157.54263389558574
rand,4,22,157.54263389558574
rand,4,23,157.54263389558574
rand,4,24,157.54263389558574
rand,4,25,157.54263389558574
rand,4,26,157.54263389558574
rand,4,27,157.54263389558574
rand,4,28,0.04582979705831276
rand,4,29,0.04582979705831276
rand,4,30,0.04582979705831276
rand,4,31,0.04582979705831276
rand,4,32,0.04582979705831276
rand,4,33,0.04582979705831276
rand,4,34,0.04582979705831276
rand,4,35,0.04582979705831276
rand,4,36,0.04582979705831276
rand,4,37,0.04582979705831276
rand,4,38,0.04582979705831276
rand,4,39,0.04582979705831276
rand,4,40,0.04582979705831276
rand,4,41,0.04582979705831276
rand,4,42,0.04582979705831276
rand,4,43,0.04582979705831276
rand,4,44,0.04582979705831276
rand,4,45,0.04582979705831276
rand,4,46,0.04582979705831276
rand,4,47,0.04582979705831276
rand,4,48,0.04582979705831276
rand,4,49,0.04582979705831276
hc,4,0,158.1420803132035
hc,4,0,157.9569858794932
hc,4,1,157.80328753292653
hc,4,2,157.80328753292653
hc,4,3,157.6809852735035
hc,4,4,157.6809852735035
hc,4,5,157.6809852735035
hc,4,6,157.6809852735035
hc,4,7,157.68034574943707
hc,4,8,157.58976080044744
hc,4,9,157.5894424996708
hc,4,10,157.5894424996708
hc,4,11,157.5894424996708
hc,4,12,157.53035298059436
hc,4,13,157.5302449628474
hc,4,14,157.5302449628474
hc,4,15,157.53013694510045
hc,4,16,157.53013694510045
hc,4,17,157.51547616305157
hc,4,18,157.51547616305157
hc,4,19,157.51547616305157
hc,4,20,157.51547616305157
hc,4,21,157.51373241341608
hc,4,22,157.513683193286
hc,4,23,157.513683193286
hc,4,24,157.513683193286
hc,4,25,157.513683193286
hc,4,26,157.513683193286
hc,4,27,157.51363397315595
hc,4,28,157.5135847530259
hc,4,29,157.5135847530259
hc,4,30,157.5135847530259
hc,4,31,157.5135847530259
hc,4,32,157.5135847530259
hc,4,33,157.51185975339038
hc,4,34,157.5101347537549
hc,4,35,157.50862499817754
hc,4,36,157.50862499817754
hc,4,37,157.50859374817753
hc,4,38,157.50859374817753
hc,4,39,157.50859374817753
hc,4,40,157.50859374817753
hc,4,41,157.50859374817753
hc,4,42,157.50856249817753
hc,4,43,157.50856249817753
hc,4,44,157.50856249817753
hc,4,45,157.50856249817753
hc,4,46,157.50856249817753
hc,4,47,157.50853124817752
hc,4,48,157.5084999981775
hc,4,49,157.5084999981775
ghc,4,0,176.30452870628716
ghc,4,0,176.07059311763507
ghc,4,1,171.37377963951693
ghc,4,2,169.93664329075168
ghc,4,3,168.50455290270995
ghc,4,4,166.0795113397448
ghc,4,5,164.5790249813873
ghc,4,6,163.26656678426238
ghc,4,7,161.84663248184438
ghc,4,8,161.15294049249636
ghc,4,9,159.7535835944126
ghc,4,10,159.45643644051873
ghc,4,11,159.16119233710424
ghc,4,12,158.93458339928736
ghc,4,13,158.50720795040806
ghc,4,14,158.31633825409068
ghc,4,15,158.31361288809822
ghc,4,16,158.00075647420445
ghc,4,17,157.7650087865889
ghc,4,18,157.76322741515335
ghc,4,19,157.7614460437178
ghc,4,20,157.67208737464273
ghc,4,21,157.54965957711892
ghc,4,22,157.50904792003573
ghc,4,23,157.5089854200357
ghc,4,24,157.50895417003574
ghc,4,25,157.50892292003573
ghc,4,26,157.50886042003572
ghc,4,27,157.50886042003572
ghc,4,28,157.50886042003572
ghc,4,29,157.50879792003573
ghc,4,30,157.5087041700357
ghc,4,31,157.5087041700357
ghc,4,32,157.50864167003573
ghc,4,33,157.50861042003572
ghc,4,34,157.50857917003572
ghc,4,35,157.50857917003572
ghc,4,36,157.50851667003573
ghc,4,37,157.50848542003573
ghc,4,38,157.5084229200357
ghc,4,39,157.5084229200357
ghc,4,40,157.50839167003573
ghc,4,41,157.50839167003573
ghc,4,42,157.50836042003573
ghc,4,43,157.50832917003572
ghc,4,44,157.50832917003572
ghc,4,45,157.5082666700357
ghc,4,46,157.50820417003573
ghc,4,47,157.50817292003572
ghc,4,48,157.5081416700357
ghc,4,49,157.50807917003573
rand,5,0,158.60042092647367
rand,5,1,158.60042092647367
rand,5,2,158.60042092647367
rand,5,3,158.60042092647367
rand,5,4,158.24712560262333
rand,5,5,158.24712560262333
rand,5,6,158.24712560262333
rand,5,7,158.24712560262333
rand,5,8,158.24712560262333
rand,5,9,158.24712560262333
rand,5,10,158.24712560262333
rand,5,11,158.24712560262333
rand,5,12,158.24712560262333
rand,5,13,158.24712560262333
rand,5,14,158.24712560262333
rand,5,15,157.80363616445715
rand,5,16,157.80363616445715
rand,5,17,157.80363616445715
rand,5,18,157.80363616445715
rand,5,19,157.80363616445715
rand,5,20,157.56426629291155
rand,5,21,157.56426629291155
rand,5,22,157.56426629291155
rand,5,23,157.56426629291155
rand,5,24,157.56426629291155
rand,5,25,157.56426629291155
rand,5,26,0.02361294001484755
rand,5,27,0.02361294001484755
rand,5,28,0.02361294001484755
rand,5,29,0.02361294001484755
rand,5,30,0.02361294001484755
rand,5,31,0.02361294001484755
rand,5,32,0.02361294001484755
rand,5,33,0.02361294001484755
rand,5,34,0.02361294001484755
rand,5,35,0.02361294001484755
rand,5,36,0.02361294001484755
rand,5,37,0.02361294001484755
rand,5,38,0.02361294001484755
rand,5,39,0.02361294001484755
rand,5,40,0.02361294001484755
rand,5,41,0.02361294001484755
rand,5,42,0.02361294001484755
rand,5,43,0.02361294001484755
rand,5,44,0.02361294001484755
rand,5,45,0.02361294001484755
rand,5,46,0.02361294001484755
rand,5,47,0.02361294001484755
rand,5,48,0.02361294001484755
rand,5,49,0.02361294001484755
hc,5,0,168.58656163624238
hc,5,0,168.58656163624238
hc,5,1,167.19569651451218
hc,5,2,167.14699313055488
hc,5,3,167.09828974659757
hc,5,4,167.09828974659757
hc,5,5,167.09828974659757
hc,5,6,167.04958636264024
hc,5,7,167.04958636264024
hc,5,8,167.04958636264024
hc,5,9,167.04958636264024
hc,5,10,167.04958636264024
hc,5,11,165.67968100526173
hc,5,12,165.19769990555633
hc,5,13,163.9459239506593
hc,5,14,163.9459239506593
hc,5,15,163.9459239506593
hc,5,16,163.9459239506593
hc,5,17,163.9459239506593
hc,5,18,163.9459239506593
hc,5,19,163.91304940539555
hc,5,20,163.91304940539555
hc,5,21,163.91304940539555
hc,5,22,163.88017486013183
hc,5,23,163.88017486013183
hc,5,24,163.88017486013183
hc,5,25,163.84730031486808
hc,5,26,163.84730031486808
hc,5,27,163.84730031486808
hc,5,28,163.81442576960436
hc,5,29,163.81442576960436
hc,5,30,163.81442576960436
hc,5,31,163.81442576960436
hc,5,32,163.81442576960436
hc,5,33,163.78155122434063
hc,5,34,163.78155122434063
hc,5,35,163.78155122434063
hc,5,36,163.78155122434063
hc,5,37,163.4001826425018
hc,5,38,163.4001826425018
hc,5,39,163.4001826425018
hc,5,40,163.4001826425018
hc,5,41,163.4001826425018
hc,5,42,163.4001826425018
hc,5,43,163.4001826425018
hc,5,44,163.4001826425018
hc,5,45,163.4001826425018
hc,5,46,163.4001826425018
hc,5,47,163.4001826425018
hc,5,48,163.3693039925604
hc,5,49,163.3693039925604
ghc,5,0,157.85888566837744
ghc,5,0,157.69458538208758
ghc,5,1,157.6309867422666
ghc,5,2,157.54212791117635
